"Organization","School"
"Beta Theta Pi","Auburn University"
"Beta Theta Pi","Boise State University"
"Beta Theta Pi","Central Michigan University"
"Beta Theta Pi","Florida State University"
"Beta Theta Pi","High Point University"
"Beta Theta Pi","Indiana University"
"Beta Theta Pi","Iowa State University"
"Beta Theta Pi","Kansas State University"
"Beta Theta Pi","Kennesaw State University"
"Beta Theta Pi","Louisiana State University"
"Beta Theta Pi","Michigan State University"
"Beta Theta Pi","Purdue University"
"Beta Theta Pi","Quinnipiac University"
"Beta Theta Pi","Texas Tech University"
"Beta Theta Pi","The Ohio State University"
"Beta Theta Pi","University of Arkansas"
"Beta Theta Pi","University of Connecticut"
"Beta Theta Pi","University of Iowa"
"Beta Theta Pi","University of Louisville"
"Beta Theta Pi","University of Maine"
"Beta Theta Pi","University of Mississippi"
"Beta Theta Pi","University of South Florida"
"Beta Theta Pi","University of Tennessee"
"Beta Theta Pi","University of Texas"
"Beta Theta Pi","University of Washington"
"Beta Theta Pi","University of Wisconsin Madison"
"Beta Theta Pi","Washington State University"
"Beta Upsilon Chi","Auburn University"
"Beta Upsilon Chi","Kennesaw State University"
"Beta Upsilon Chi","Mississippi State University"
"Beta Upsilon Chi","Oklahoma State University"
"Beta Upsilon Chi","Texas A&amp;M University"
"Beta Upsilon Chi","Texas State University"
"Beta Upsilon Chi","Texas Tech University"
"Beta Upsilon Chi","University of Arkansas"
"Beta Upsilon Chi","University of Central Arkansas"
"Beta Upsilon Chi","University of Central Oklahoma"
"Beta Upsilon Chi","University of Kentucky"
"Beta Upsilon Chi","University of Missouri"
"Beta Upsilon Chi","University of Oklahoma"
"Beta Upsilon Chi","University of Texas"
"Brenau University","Brenau University"
"Carroll FSL","Carroll University"
"CEHD Study Hours","Texas A&amp;M University"
"Chi Omega","Appalachian State University"
"Chi Omega","Arizona State University"
"Chi Omega","Arkansas State University"
"Chi Omega","Bowling Green State University"
"Chi Omega","Clemson University"
"Chi Omega","College of Charleston"
"Chi Omega","College of William and Mary"
"Chi Omega","Colorado State University"
"Chi Omega","Culver Stockton College"
"Chi Omega","Eastern Kentucky University"
"Chi Omega","George Mason University"
"Chi Omega","Georgia Southern University"
"Chi Omega","Hanover College"
"Chi Omega","Huntingdon College"
"Chi Omega","Illinois State University"
"Chi Omega","Kansas State University"
"Chi Omega","McNeese State University"
"Chi Omega","Middle Tennessee State University"
"Chi Omega","Mississippi State University"
"Chi Omega","Missouri University of Science and Technology"
"Chi Omega","Morehead State University"
"Chi Omega","Northern Arizona University"
"Chi Omega","Ohio University"
"Chi Omega","Oregon State University"
"Chi Omega","Purdue University"
"Chi Omega","Quinnipiac University"
"Chi Omega","South Dakota State University"
"Chi Omega","Southern Methodist University"
"Chi Omega","Texas A&amp;M University Commerce"
"Chi Omega","Texas State University"
"Chi Omega","The Ohio State University"
"Chi Omega","Troy University"
"Chi Omega","University of Alabama"
"Chi Omega","University of Arkansas"
"Chi Omega","University of California Davis"
"Chi Omega","University of Central Florida"
"Chi Omega","University of Delaware"
"Chi Omega","University of Houston"
"Chi Omega","University of Kentucky"
"Chi Omega","University of Maine"
"Chi Omega","University of Missouri"
"Chi Omega","University of Missouri Kansas City"
"Chi Omega","University of Montevallo"
"Chi Omega","University of North Carolina at Charlotte"
