"Organization","School"
"Sigma Alpha","Louisiana State University"
"Sigma Alpha","Mississippi State University"
"Sigma Alpha","Morehead State University"
"Sigma Alpha","Purdue University"
"Sigma Alpha","Sam Houston State University"
"Sigma Alpha","Stephen F Austin University"
"Sigma Alpha","University of Arizona"
"Sigma Alpha","university of arkansas"
"Sigma Alpha","University of California Davis"
"Sigma Alpha","University of Idaho"
"Sigma Alpha","University of Nebraska Lincoln"
"Sigma Alpha","University of Tennessee"
"Sigma Alpha","Washington State University"
"Sigma Alpha Epsilon","Armstrong State University"
"Sigma Alpha Epsilon","Baylor University"
"Sigma Alpha Epsilon","Boise State University"
"Sigma Alpha Epsilon","California State University Chico"
"Sigma Alpha Epsilon","California State University Northridge"
"Sigma Alpha Epsilon","California State University Sacramento"
"Sigma Alpha Epsilon","College of Charleston"
"Sigma Alpha Epsilon","Colorado State University"
"Sigma Alpha Epsilon","East Tennessee State University"
"Sigma Alpha Epsilon","Florida State University"
"Sigma Alpha Epsilon","Georgia College and State University"
"Sigma Alpha Epsilon","Georgia Southern University"
"Sigma Alpha Epsilon","Georgia Southern University Armstrong"
"Sigma Alpha Epsilon","Georgia Tech"
"Sigma Alpha Epsilon","Illinois State University"
"Sigma Alpha Epsilon","Indiana University"
"Sigma Alpha Epsilon","Kansas State University"
"Sigma Alpha Epsilon","Kennesaw State University"
"Sigma Alpha Epsilon","Louisiana State University"
"Sigma Alpha Epsilon","Midwestern State University"
"Sigma Alpha Epsilon","Oklahoma State University"
"Sigma Alpha Epsilon","Pittsburg State University"
"Sigma Alpha Epsilon","Stephen F Austin University"
"Sigma Alpha Epsilon","Tennessee Tech University"
"Sigma Alpha Epsilon","Texas A&amp;M University"
"Sigma Alpha Epsilon","Texas State University"
"Sigma Alpha Epsilon","Texas Tech University"
"Sigma Alpha Epsilon","University of Alabama"
"Sigma Alpha Epsilon","University of California Riverside"
"Sigma Alpha Epsilon","University of Central Florida"
"Sigma Alpha Epsilon","University of Central Oklahoma"
"Sigma Alpha Epsilon","University of Colorado"
"Sigma Alpha Epsilon","University of Dayton"
"Sigma Alpha Epsilon","University of Delaware"
"Sigma Alpha Epsilon","University of Houston"
"Sigma Alpha Epsilon","University of Illinois at UC"
"Sigma Alpha Epsilon","University of Iowa"
"Sigma Alpha Epsilon","University of Kansas"
"Sigma Alpha Epsilon","University of Kentucky"
"Sigma Alpha Epsilon","University of Mississippi"
"Sigma Alpha Epsilon","University of Missouri"
"Sigma Alpha Epsilon","University of Missouri Kansas City"
"Sigma Alpha Epsilon","University of Nebraska Lincoln"
"Sigma Alpha Epsilon","University of Oregon"
"Sigma Alpha Epsilon","University of Pittsburgh"
"Sigma Alpha Epsilon","University of South Florida"
"Sigma Alpha Epsilon","University of Southern Mississippi"
"Sigma Alpha Epsilon","University of Tennessee"
"Sigma Alpha Epsilon","University of Texas San Antonio"
"Sigma Alpha Epsilon","University of Washington"
"Sigma Alpha Epsilon","University of West Florida"
"Sigma Alpha Epsilon","Washington State University"
"Sigma Alpha Epsilon","Western Kentucky University"
"Sigma Alpha Epsilon","Wichita State University"
"Sigma Alpha Epsilon","Winthrop University"
"Sigma Alpha Mu","Arizona State University"
"Sigma Alpha Mu","Florida International University"
"Sigma Alpha Mu","Indiana University"
"Sigma Alpha Mu","Louisiana State University"
"Sigma Alpha Mu","Temple University"
"Sigma Alpha Mu","University of Alabama"
"Sigma Alpha Mu","University of Arizona"
"Sigma Alpha Mu","University of Illinois at UC"
"Sigma Alpha Mu","University of Nevada Las Vegas"
"Sigma Alpha Mu","University of West Florida"
"Sigma Alpha Mu","Washington State University"
"Sigma Alpha Nu","University of California Davis"
"Sigma Beta Rho","Stockton University"
"Sigma Beta Rho","University of Tennessee"
"Sigma Chi","Auburn University"
"Sigma Chi","California State Polytechnic University Pomona"
"Sigma Chi","Central Michigan University"
"Sigma Chi","East Tennessee State University"
"Sigma Chi","Eastern Illinois University"
"Sigma Chi","Eastern Kentucky University"
"Sigma Chi","Florida Atlantic University"
"Sigma Chi","Florida Southern College"
"Sigma Chi","Fort Hays State University"
"Sigma Chi","Furman University"
"Sigma Chi","Georgia Southern University"
"Sigma Chi","Illinois State University"
"Sigma Chi","Indiana University"
"Sigma Chi","Iowa State University"
"Sigma Chi","Jacksonville University"
"Sigma Chi","Kansas State University"
"Sigma Chi","Kent State University"
"Sigma Chi","Louisiana State University"
"Sigma Chi","Marquette University"
"Sigma Chi","Middle Tennessee State University"
"Sigma Chi","Oklahoma State University"
"Sigma Chi","Old Dominion University"
"Sigma Chi","Pittsburg State University"
"Sigma Chi","Samford University"
"Sigma Chi","San Diego State University"
"Sigma Chi","Southern Utah University"
"Sigma Chi","Stephen F Austin University"
"Sigma Chi","Tarleton State University"
"Sigma Chi","Texas State University"
"Sigma Chi","Texas Tech University"
"Sigma Chi","Troy University"
"Sigma Chi","University of California Merced"
"Sigma Chi","University of Central Florida"
"Sigma Chi","University of Cincinnati"
"Sigma Chi","University of Denver"
"Sigma Chi","University of Iowa"
"Sigma Chi","University of Kentucky"
"Sigma Chi","University of Minnesota"
"Sigma Chi","University of Nebraska Lincoln"
"Sigma Chi","University of New Mexico"
"Sigma Chi","University of Oregon"
"Sigma Chi","University of Rhode Island"
"Sigma Chi","University of South Alabama"
"Sigma Chi","University of Southern Mississippi"
"Sigma Chi","University of Tennessee"
"Sigma Chi","University of Tennessee at Chattanooga"
"Sigma Chi","University of Texas"
"Sigma Chi","University of Texas San Antonio"
"Sigma Chi","University of Washington"
"Sigma Chi","University of West Florida"
"Sigma Chi","Utah State University"
"Sigma Chi","Virginia Commonwealth University"
"Sigma Chi","Washington State University"
"Sigma Chi","Western Carolina University"
"Sigma Chi","Western Kentucky University"
"Sigma Chi","Western Michigan University"
"Sigma Chi Rho","University of Alabama at Birmingham"
"Sigma Delta Alpha","University of California Davis"
"Sigma Delta Tau","American University"
"Sigma Delta Tau","Eastern Michigan University"
"Sigma Delta Tau","Florida Atlantic University"
"Sigma Delta Tau","Florida State University"
"Sigma Delta Tau","Indiana University"
"Sigma Delta Tau","Kent State University"
"Sigma Delta Tau","Long Island University Post"
"Sigma Delta Tau","Manhattan College"
"Sigma Delta Tau","Michigan State University"
"Sigma Delta Tau","Montclair State University"
"Sigma Delta Tau","Nova Southeastern University"
"Sigma Delta Tau","Pace University"
"Sigma Delta Tau","Penn State University"
"Sigma Delta Tau","Purdue University"
"Sigma Delta Tau","Queens College"
"Sigma Delta Tau","Rowan University"
"Sigma Delta Tau","Rutgers University"
"Sigma Delta Tau","State University of New York at Geneseo"
"Sigma Delta Tau","Stockton University"
"Sigma Delta Tau","The George Washington University"
"Sigma Delta Tau","University of Alabama"
"Sigma Delta Tau","University of Hartford"
"Sigma Delta Tau","University of Illinois at UC"
"Sigma Delta Tau","University of Maryland College Park"
"Sigma Delta Tau","University of Pittsburgh"
"Sigma Delta Tau","University of Rhode Island"
"Sigma Delta Tau","University of South Florida"
"Sigma Delta Tau","York College of Pennsylvania"
"Sigma Gamma Rho","University of North Carolina at Charlotte"
"Sigma Iota Alpha","University of Illinois at UC"
"Sigma Kappa","Arizona State University"
"Sigma Kappa","Auburn University"
"Sigma Kappa","California Polytechnic State"
"Sigma Kappa","California State University Chico"
"Sigma Kappa","Central Michigan University"
"Sigma Kappa","Clemson University"
"Sigma Kappa","Duquesne University"
"Sigma Kappa","Eastern Michigan University"
"Sigma Kappa","Florida Atlantic University"
"Sigma Kappa","Florida International University"
"Sigma Kappa","Indiana State University"
"Sigma Kappa","James Madison University"
"Sigma Kappa","Kansas State University"
"Sigma Kappa","Louisiana Tech University"
"Sigma Kappa","Marietta College"
"Sigma Kappa","Marquette University"
"Sigma Kappa","Midwestern State University"
"Sigma Kappa","North Carolina State University"
"Sigma Kappa","Northwest Missouri State University"
"Sigma Kappa","Ohio University"
"Sigma Kappa","Penn State University"
"Sigma Kappa","Sacramento State University"
"Sigma Kappa","Texas Christian University"
"Sigma Kappa","UC Riverside"
"Sigma Kappa","University of Alabama"
"Sigma Kappa","University of Central Arkansas"
"Sigma Kappa","University of Central Missouri"
"Sigma Kappa","University of Florida"
"Sigma Kappa","University of Georgia"
"Sigma Kappa","University of Kansas"
"Sigma Kappa","University of Missouri"
"Sigma Kappa","University of North Carolina at Charlotte"
"Sigma Kappa","University of Northern Colorado"
"Sigma Kappa","University of Rhode Island"
"Sigma Kappa","University of Tennessee"
"Sigma Kappa","University of West Georgia"
"Sigma Kappa","Washington State University"
"Sigma Kappa","West Virginia University"
"Sigma Kappa","Western Kentucky University"
"Sigma Kappa","Western Michigan University"
"Sigma Lambda Alpha","Oklahoma State University"
"Sigma Lambda Alpha","University of Oklahoma"
"Sigma Lambda Beta","Colorado State University"
"Sigma Lambda Beta","Texas State University"
"Sigma Lambda Beta","Texas Tech University"
"Sigma Lambda Beta","University of Alabama"
"Sigma Lambda Beta","University of Florida"
"Sigma Lambda Beta","University of Oklahoma"
"Sigma Lambda Beta","Valdosta State University"
"Sigma Lambda Gamma","Kansas State University"
"Sigma Lambda Gamma","Stephen F Austin University"
"Sigma Lambda Gamma","Texas State University"
"Sigma Lambda Gamma","University of Idaho"
"Sigma Lambda Gamma","University of North Texas"
"Sigma Nu","Appalachian State University"
"Sigma Nu","Bradley University"
"Sigma Nu","Butler University"
"Sigma Nu","California State University Chico"
"Sigma Nu","California State University Fresno"
"Sigma Nu","California State University San Bernardino"
"Sigma Nu","College of Charleston"
"Sigma Nu","Eastern Illinois University"
"Sigma Nu","Eastern Kentucky University"
"Sigma Nu","Eastern Washington University"
"Sigma Nu","Florida Atlantic University"
"Sigma Nu","Georgia Southern University"
"Sigma Nu","Georgia State University"
"Sigma Nu","High Point University"
"Sigma Nu","James Madison University"
"Sigma Nu","Kennesaw State University"
"Sigma Nu","Kentucky Wesleyan College"
"Sigma Nu","Missouri State University"
"Sigma Nu","Montana State University"
"Sigma Nu","Presbyterian College"
"Sigma Nu","Purdue University"
"Sigma Nu","Rochester Institute of Technology"
"Sigma Nu","San Jose State University"
"Sigma Nu","Stephen F Austin University"
"Sigma Nu","Texas State University"
"Sigma Nu","Texas Tech University"
"Sigma Nu","University of Alabama Huntsville"
"Sigma Nu","University of Arizona"
"Sigma Nu","University of California San Diego"
"Sigma Nu","University of Hartford"
"Sigma Nu","University of Illinois at UC"
"Sigma Nu","University of Kentucky"
"Sigma Nu","University of Louisiana at Lafayette"
"Sigma Nu","University of Mississippi"
"Sigma Nu","University of Montana"
"Sigma Nu","University of Nebraska Lincoln"
"Sigma Nu","University of North Carolina Asheville"
"Sigma Nu","University of North Dakota"
"Sigma Nu","University of North Georgia"
"Sigma Nu","University of North Texas"
"Sigma Nu","University of Oklahoma"
"Sigma Nu","University of Southern Mississippi"
"Sigma Nu","University of Tennessee"
"Sigma Nu","University of Tennessee at Chattanooga"
"Sigma Nu","University of West Georgia"
"Sigma Nu","Valdosta State University"
"Sigma Nu","Washington State University"
"Sigma Nu","West Texas A&amp;M University"
"Sigma Nu","Western Kentucky University"
"Sigma Omega Nu","California Polytechnic State"
"Sigma Omega Nu","Colorado State University"
"Sigma Phi Delta","San Diego State University"
"Sigma Phi Delta","Texas Tech University"
"Sigma Phi Delta","University of Missouri"
"Sigma Phi Epsilon","Auburn University"
"Sigma Phi Epsilon","California State University Fresno"
"Sigma Phi Epsilon","California State University San Bernardino"
"Sigma Phi Epsilon","Coastal Carolina University"
"Sigma Phi Epsilon","Colorado State University"
"Sigma Phi Epsilon","Eastern Illinois University"
"Sigma Phi Epsilon","Eastern Washington University"
"Sigma Phi Epsilon","Florida Atlantic University"
"Sigma Phi Epsilon","Florida Gulf Coast University"
"Sigma Phi Epsilon","Indiana University"
"Sigma Phi Epsilon","Kansas State University"
"Sigma Phi Epsilon","Mississippi State University"
"Sigma Phi Epsilon","Missouri State University"
"Sigma Phi Epsilon","Northwest Missouri State University"
"Sigma Phi Epsilon","Ohio University"
"Sigma Phi Epsilon","Oklahoma State University"
"Sigma Phi Epsilon","Oregon State University"
"Sigma Phi Epsilon","Pepperdine University"
"Sigma Phi Epsilon","San Diego State University"
"Sigma Phi Epsilon","Tennessee Tech University"
"Sigma Phi Epsilon","Texas Tech University"
"Sigma Phi Epsilon","University of Alabama"
"Sigma Phi Epsilon","University of Arkansas"
"Sigma Phi Epsilon","University of California Irvine"
"Sigma Phi Epsilon","University of California Riverside"
"Sigma Phi Epsilon","University of Central Arkansas"
"Sigma Phi Epsilon","University of Central Missouri"
"Sigma Phi Epsilon","University of Colorado"
"Sigma Phi Epsilon","University of Houston"
"Sigma Phi Epsilon","University of Iowa"
"Sigma Phi Epsilon","University of Kentucky"
"Sigma Phi Epsilon","University of Memphis"
"Sigma Phi Epsilon","University of Missouri"
"Sigma Phi Epsilon","University of Nebraska Lincoln"
"Sigma Phi Epsilon","University of Nebraska Omaha"
"Sigma Phi Epsilon","University of New Hampshire"
"Sigma Phi Epsilon","University of North Carolina Greensboro"
"Sigma Phi Epsilon","University of North Texas"
"Sigma Phi Epsilon","University of Oregon"
"Sigma Phi Epsilon","University of South Carolina"
"Sigma Phi Epsilon","University of Tennessee"
"Sigma Phi Epsilon","West Carolina University"
"Sigma Phi Epsilon","Western Kentucky University"
"Sigma Phi Epsilon","Wichita State University"
"Sigma Pi","Arkansas Tech University"
"Sigma Pi","California Polytechnic State"
"Sigma Pi","Central Michigan University"
"Sigma Pi","Clemson University"
"Sigma Pi","Colorado State University"
"Sigma Pi","East Carolina University"
"Sigma Pi","Eastern Illinois University"
"Sigma Pi","Eastern Kentucky University"
"Sigma Pi","Fairleigh Dickinson University"
"Sigma Pi","Illinois State University"
"Sigma Pi","Indiana University"
"Sigma Pi","Indiana University of Pennsylvania"
"Sigma Pi","Kansas State University"
"Sigma Pi","Missouri State University"
"Sigma Pi","Montclair State University"
"Sigma Pi","Morehead State University"
"Sigma Pi","Murray State University"
"Sigma Pi","Northern Arizona University"
"Sigma Pi","Oklahoma State University"
"Sigma Pi","Pennsylvania State University Altoona"
"Sigma Pi","Southern Illinois University"
"Sigma Pi","Southern Illinois University Edwardsville"
"Sigma Pi","Stockton University"
"Sigma Pi","University of Alabama"
"Sigma Pi","University of Arkansas"
"Sigma Pi","University of Central Missouri"
"Sigma Pi","University of Detroit Mercy"
"Sigma Pi","University of Iowa"
"Sigma Pi","University of Kansas"
"Sigma Pi","University of Kentucky"
"Sigma Pi","University of Mississippi"
"Sigma Pi","University of Missouri"
"Sigma Pi","University of Southern Indiana"
"Sigma Pi","University of Texas San Antonio"
"Sigma Pi","Washington State University"
"Sigma Pi","Wayne State University"
"Sigma Sigma Sigma","Bloomsburg University of Pennsylvania"
"Sigma Sigma Sigma","Bryant University"
"Sigma Sigma Sigma","Central Michigan University"
"Sigma Sigma Sigma","Eastern Illinois University"
"Sigma Sigma Sigma","Indiana University of Pennsylvania"
"Sigma Sigma Sigma","Lynchburg College"
"Sigma Sigma Sigma","Marshall University"
"Sigma Sigma Sigma","Missouri State University"
"Sigma Sigma Sigma","Northern Illinois University"
"Sigma Sigma Sigma","Pittsburg State University"
"Sigma Sigma Sigma","Sam Houston State University"
"Sigma Sigma Sigma","Shepherd University"
"Sigma Sigma Sigma","Slippery Rock University"
"Sigma Sigma Sigma","Southeast Missouri State University"
"Sigma Sigma Sigma","Southeastern Louisiana University"
"Sigma Sigma Sigma","Truman State University"
"Sigma Sigma Sigma","University of Central Arkansas"
"Sigma Sigma Sigma","University of Central Oklahoma"
"Sigma Sigma Sigma","University of Michigan-Flint"
"Sigma Sigma Sigma","University of Missouri"
"Sigma Sigma Sigma","Western Illinois University"
"Sigma Tau Gamma","Auburn University"
"Sigma Tau Gamma","Central Michigan University"
"Sigma Tau Gamma","Colorado State University"
"Sigma Tau Gamma","East Carolina University"
"Sigma Tau Gamma","Kansas State University"
"Sigma Tau Gamma","Northeastern State University"
"Sigma Tau Gamma","Northwest Missouri State University"
"Sigma Tau Gamma","Pittsburg State University"
"Sigma Tau Gamma","Purdue University"
"Sigma Tau Gamma","Southeastern Louisiana University"
"Sigma Tau Gamma","Stephen F Austin University"
"Sigma Tau Gamma","Texas state university"
"Sigma Tau Gamma","Texas Tech University"
"Sigma Tau Gamma","University of Alabama"
"Sigma Tau Gamma","University of Alabama at Birmingham"
"Sigma Tau Gamma","University of Arizona"
"Sigma Tau Gamma","University of Central Missouri"
"Sigma Tau Gamma","University of Central Oklahoma"
"Sigma Tau Gamma","University of Massachusetts Lowell"
"Sigma Tau Gamma","University of Missouri"
"Sigma Tau Gamma","University of Nebraska at Kearney"
"Sigma Tau Gamma","University of Southern Indiana"
"Sigma Tau Gamma","University of Wisconsin Whitewater"
"Sigma Tau Gamma","Western Michigan University"
"Society of Women Engineers","Central New Mexico"
"Spirit Program","West Texas A&amp;M University"
"STAC Field Hockey ","St Thomas Aquanis College"
"Stars","Tarleton State University"
"Student Activities Board","University of Kentucky"
"Tau Delta Phi","Jacksonville State University"
"Tau Delta Phi","New Jersey Institute of Technology"
"Tau Delta Phi","Stockton University"
"Tau Epsilon Phi","Indiana University"
"Tau Epsilon Phi","University of Rhode Island"
"Tau Kappa Epsilon","Auburn University"
"Tau Kappa Epsilon","Central Michigan University"
"Tau Kappa Epsilon","Cleveland State University"
"Tau Kappa Epsilon","Eastern Michigan University"
"Tau Kappa Epsilon","Florida State University"
"Tau Kappa Epsilon","Georgia Southern University"
"Tau Kappa Epsilon","Indiana University"
"Tau Kappa Epsilon","James Madison University"
"Tau Kappa Epsilon","Kennesaw State University"
"Tau Kappa Epsilon","Louisiana Tech University"
"Tau Kappa Epsilon","Millikin University"
"Tau Kappa Epsilon","North Carolina State University"
"Tau Kappa Epsilon","Northeastern State University"
"Tau Kappa Epsilon","Northern Illinois University"
"Tau Kappa Epsilon","Northern Michigan University"
"Tau Kappa Epsilon","Oklahoma State University"
"Tau Kappa Epsilon","Oregon State University"
"Tau Kappa Epsilon","Rider University"
"Tau Kappa Epsilon","Rochester Institute of Technology "
"Tau Kappa Epsilon","Sonoma State University"
"Tau Kappa Epsilon","Southeast Missouri State University"
"Tau Kappa Epsilon","Southern Illinois University"
"Tau Kappa Epsilon","St Leo University"
"Tau Kappa Epsilon","Stephen F Austin University"
"Tau Kappa Epsilon","Texas Tech University"
"Tau Kappa Epsilon","Troy University"
"Tau Kappa Epsilon","University of Akron"
"Tau Kappa Epsilon","University of Alabama"
"Tau Kappa Epsilon","University of Alabama at Birmingham"
"Tau Kappa Epsilon","University of Central Missouri"
"Tau Kappa Epsilon","University of Central Oklahoma"
"Tau Kappa Epsilon","University of Colorado"
"Tau Kappa Epsilon","University of Houston"
"Tau Kappa Epsilon","University of Iowa"
"Tau Kappa Epsilon","University of Kentucky"
"Tau Kappa Epsilon","University of Louisville"
"Tau Kappa Epsilon","University of Minnesota"
"Tau Kappa Epsilon","University of Nebraska Lincoln"
"Tau Kappa Epsilon","University of North Carolina Wilmington"
"Tau Kappa Epsilon","University of Southern Indiana"
"Tau Kappa Epsilon","University of West Florida"
"Tau Kappa Epsilon","University of West Georgia"
"Tau Kappa Epsilon","Valdosta State University"
"Tau Kappa Epsilon","Washington State University"
"Tau Sigma Phi","Brock University"
"TCG","TCG"
"TESP","Auburn University"
"Test Inc","Testing"
"Texas Angels","University of Texas San Antonio"
"Theta Chi","Adrian College"
"Theta Chi","Appalachian State University"
"Theta Chi","Arizona State University"
"Theta Chi","Auburn University"
"Theta Chi","Bowling Green State University"
"Theta Chi","California State University Stanislaus"
"Theta Chi","Clemson University"
"Theta Chi","Colorado State University"
"Theta Chi","Grand Valley State"
"Theta Chi","Hamline University"
"Theta Chi","Indiana University"
"Theta Chi","Indiana University of Pennsylvania"
"Theta Chi","Iowa State University"
"Theta Chi","Kennesaw State University"
"Theta Chi","Louisiana State University"
"Theta Chi","Missouri State University"
"Theta Chi","Morehead State University"
"Theta Chi","New Jersey Institute of Technology"
"Theta Chi","New Mexico State University"
"Theta Chi","North Carolina State University"
"Theta Chi","North Dakota State University"
"Theta Chi","Northern Arizona University"
"Theta Chi","Oakland University"
"Theta Chi","Ohio University"
"Theta Chi","Penn State University"
"Theta Chi","Rider University"
"Theta Chi","Rutgers University"
"Theta Chi","Sam Houston State University"
"Theta Chi","San Diego State University"
"Theta Chi","Slippery Rock University"
"Theta Chi","Stephen F Austin University"
"Theta Chi","Texas State University"
"Theta Chi","Texas Tech University"
"Theta Chi","University of Alabama"
"Theta Chi","University of Arkansas"
"Theta Chi","University of Central Missouri"
"Theta Chi","University of Kansas"
"Theta Chi","University of Maine"
"Theta Chi","University of Maryland College Park"
"Theta Chi","University of Minnesota"
"Theta Chi","University of Nevada Reno"
"Theta Chi","University of North Texas"
"Theta Chi","University of Washington"
"Theta Chi","University of Wisconsin Oshkosh"
"Theta Delta Chi","Iowa State University"
"Theta Delta Chi","Johnson &amp; Wales University"
"Theta Delta Chi","University of Arizona"
"Theta Delta Chi","University of North Carolina Greensboro"
"Theta Delta Chi","University of South Carolina"
"Theta Nu Xi","Oklahoma State University"
"Theta Phi Alpha","Ashland University"
"Theta Phi Alpha","Florida Atlantic University"
"Theta Phi Alpha","Indiana University"
"Theta Phi Alpha","Indiana University of Pennsylvania"
"Theta Phi Alpha","Loyola University New Orleans"
"Theta Phi Alpha","Lynn University"
"Theta Phi Alpha","Missouri Valley College"
"Theta Phi Alpha","Rowan University"
"Theta Phi Alpha","Sacred Heart University"
"Theta Phi Alpha","St Leo University"
"Theta Phi Alpha","University of Cincinnati"
"Theta Phi Alpha","University of Michigan-Flint"
"Theta Phi Alpha","University of Pittsburgh"
"Theta Phi Alpha","Wayne State College"
"Theta Phi Alpha","Wright State University"
"Theta Tau","California State University Fullerton"
"Theta Tau","University of Alabama"
"Theta Xi","Auburn University"
"Theta Xi","Florida Institute of Technology"
"Theta Xi","Georgia Southern University"
"Theta Xi","Kennesaw State University"
"Theta Xi","Missouri University of Science and Technology"
"Theta Xi","Purdue University"
"Theta Xi","Southeast Missouri State University"
"Theta Xi","University of Alabama"
"Theta Xi","University of Arizona"
"Theta Xi","University of Rhode Island"
"Theta Xi","Washington State University"
"Theta Xi","Western Illinois University"
"Toccoa Falls College","Toccoa Falls College"
"Traditions Council","Missouri State University"
"Triangle Fraternity","Florida Atlantic University"
"Triangle Fraternity","Purdue University"
"Triangle Fraternity","University of Nebraska Lincoln"
"TSU Plowboys","Tarleton State University"
"UA Early College","University of Alabama"
"UA NROTC","University of Arizona"
"UCCS Dance Team","University of Colorado Colorado Springs"
"UCM IFC","University of Central Missouri"
"UKSGA","University of Kentucky"
"UNA","University of North Alabama"
"Undergraduate Education","Indiana University Purdue University"
"Urban Male Initiative","Florida Atlantic University"
"USU Eastern Athletics","Utah State University Eastern"
"Volleyball","Southern Illinois University"
"Whitworth University Softball","Whitworth University"
"Willard Sorority","Nebraska Wesleyan University"
"Womens Lacrosse","Aquinas College"
"Womens Softball","Keystone College"
"Xi Omicron Iota","Missouri State University"
"Zeta Beta Tau","American University"
"Zeta Beta Tau","California Polytechnic State"
"Zeta Beta Tau","California State University Northridge"
"Zeta Beta Tau","Florida International University"
"Zeta Beta Tau","Florida State University"
"Zeta Beta Tau","Indiana University"
"Zeta Beta Tau","Purdue University"
"Zeta Beta Tau","San Diego State University"
"Zeta Beta Tau","State University of New York at Oswego"
"Zeta Beta Tau","Towson University"
"Zeta Beta Tau","University of Alabama"
"Zeta Beta Tau","University of Albany"
"Zeta Beta Tau","University of Arizona"
"Zeta Beta Tau","University of Denver"
"Zeta Beta Tau","University of Kansas"
"Zeta Beta Tau","University of Missouri"
"Zeta Beta Tau","University of North Carolina at Charlotte"
"Zeta Beta Tau","University of Rhode Island"
"Zeta Beta Tau","University of Washington"
"Zeta Phi Beta","Coe College"
"Zeta Phi Beta","Eastern Illinois University"
"Zeta Phi Beta","Georgia Southern University"
"Zeta Phi Beta","Indiana State University"
"Zeta Phi Beta","Johnson and Wales University Charlotte"
"Zeta Phi Beta","Kent State University"
"Zeta Phi Beta","Texas Tech University"
"Zeta Phi Beta","University of West Florida"
"Zeta Psi","University of Alabama"
"Zeta Psi","University of Arizona"
"Zeta Psi","University of Nevada Reno"
"Zeta Tau Alpha","Arkansas Tech University"
"Zeta Tau Alpha","Auburn University"
"Zeta Tau Alpha","Bethany College"
"Zeta Tau Alpha","California State University Fullerton"
"Zeta Tau Alpha","California State University San Bernardino"
"Zeta Tau Alpha","Central Michigan University"
"Zeta Tau Alpha","Clemson University"
"Zeta Tau Alpha","College of Charleston"
"Zeta Tau Alpha","Colorado State University"
"Zeta Tau Alpha","Ferris State University"
"Zeta Tau Alpha","Furman University"
"Zeta Tau Alpha","Georgia Southern University"
"Zeta Tau Alpha","High Point University"
"Zeta Tau Alpha","Indiana State University"
"Zeta Tau Alpha","Indiana University of Pennsylvania"
"Zeta Tau Alpha","Jacksonville State University"
"Zeta Tau Alpha","James Madison University"
"Zeta Tau Alpha","Lander University"
"Zeta Tau Alpha","Lenoir Rhyne University"
"Zeta Tau Alpha","Louisiana State University"
"Zeta Tau Alpha","Michigan State University"
"Zeta Tau Alpha","Mississippi State University"
"Zeta Tau Alpha","Oklahoma State University"
"Zeta Tau Alpha","Purdue University"
"Zeta Tau Alpha","Rochester Institute of Technology"
"Zeta Tau Alpha","Sam Houston State University"
"Zeta Tau Alpha","Samford University"
"Zeta Tau Alpha","Seton Hall University"
"Zeta Tau Alpha","St Louis University"
"Zeta Tau Alpha","Stetson University"
"Zeta Tau Alpha","Stockton University"
"Zeta Tau Alpha","Texas A&amp;M University"
"Zeta Tau Alpha","Texas A&amp;M University Corpus Christi"
"Zeta Tau Alpha","Texas State University"
"Zeta Tau Alpha","Texas Tech University"
"Zeta Tau Alpha","University of Alabama"
"Zeta Tau Alpha","University of Arkansas"
"Zeta Tau Alpha","University of Florida"
"Zeta Tau Alpha","University of Houston"
"Zeta Tau Alpha","University of Louisville"
"Zeta Tau Alpha","University of Missouri"
"Zeta Tau Alpha","University of Missouri St Louis"
"Zeta Tau Alpha","University of Nebraska Omaha"
"Zeta Tau Alpha","University of North Alabama"
"Zeta Tau Alpha","University of North Carolina at Charlotte"
"Zeta Tau Alpha","University of Rhode Island"
"Zeta Tau Alpha","University of South Carolina"
"Zeta Tau Alpha","University of Tennessee"
"Zeta Tau Alpha","University of Texas"
"Zeta Tau Alpha","University of Texas San Antonio"
"Zeta Tau Alpha","University of Wisconsin Oshkosh"
"Zeta Tau Alpha","USC Aiken"
"Zeta Tau Alpha","Valdosta State University"
"Zeta Tau Alpha","West Texas A&amp;M University"
